timeout energy time overhead #transitions
0 0.3936061600 1092.074000 0.551000 221
1 0.3966597700 1092.074000 0.551000 221
2 0.3997133800 1092.074000 0.551000 221
3 0.4028495200 1092.074000 0.551000 221
4 0.4019740700 1092.074000 0.541000 217
5 0.4049726600 1092.074000 0.541000 217
6 0.4079712500 1092.074000 0.541000 217
7 0.4109698400 1092.074000 0.541000 217
8 0.4139684300 1092.074000 0.541000 217
9 0.4149474700 1092.074000 0.536000 215
10 0.4179185500 1092.074000 0.536000 215
11 0.4208896300 1092.074000 0.536000 215
12 0.4238607100 1092.074000 0.536000 215
13 0.4268317900 1092.074000 0.536000 215
14 0.4298028700 1092.074000 0.536000 215
15 0.4327739500 1092.074000 0.536000 215
16 0.4357450300 1092.074000 0.536000 215
17 0.4387161100 1092.074000 0.536000 215
18 0.4416871900 1092.074000 0.536000 215
19 0.4446582700 1092.074000 0.536000 215
20 0.4476293500 1092.074000 0.536000 215
21 0.4506004300 1092.074000 0.536000 215
22 0.4535715100 1092.074000 0.536000 215
23 0.4565425900 1092.074000 0.536000 215
24 0.4595136700 1092.074000 0.536000 215
25 0.4624847500 1092.074000 0.536000 215
26 0.4654558300 1092.074000 0.536000 215
27 0.4684269100 1092.074000 0.536000 215
28 0.4713979900 1092.074000 0.536000 215
29 0.4743690700 1092.074000 0.536000 215
30 0.4773401500 1092.074000 0.536000 215
31 0.4803112300 1092.074000 0.536000 215
32 0.4832823100 1092.074000 0.536000 215
33 0.4862533900 1092.074000 0.536000 215
34 0.4892244700 1092.074000 0.536000 215
35 0.4921955500 1092.074000 0.536000 215
36 0.4951666300 1092.074000 0.536000 215
37 0.4981377100 1092.074000 0.536000 215
38 0.5011087900 1092.074000 0.536000 215
39 0.5040798700 1092.074000 0.536000 215
40 0.5070509500 1092.074000 0.536000 215
41 0.5100220300 1092.074000 0.536000 215
42 0.5129931100 1092.074000 0.536000 215
43 0.5159641900 1092.074000 0.536000 215
44 0.5189352700 1092.074000 0.536000 215
45 0.5219063500 1092.074000 0.536000 215
46 0.5248774300 1092.074000 0.536000 215
47 0.5278485100 1092.074000 0.536000 215
48 0.5308195900 1092.074000 0.536000 215
49 0.5337906700 1092.074000 0.536000 215
50 0.5367617500 1092.074000 0.536000 215
51 0.5397328300 1092.074000 0.536000 215
52 0.5427039100 1092.074000 0.536000 215
53 0.5456749900 1092.074000 0.536000 215
54 0.5486460700 1092.074000 0.536000 215
55 0.5516171500 1092.074000 0.536000 215
56 0.5545882300 1092.074000 0.536000 215
57 0.5575593100 1092.074000 0.536000 215
58 0.5605303900 1092.074000 0.536000 215
59 0.5635014700 1092.074000 0.536000 215
60 0.5664725500 1092.074000 0.536000 215
61 0.5694436300 1092.074000 0.536000 215
62 0.5724147100 1092.074000 0.536000 215
63 0.5753857900 1092.074000 0.536000 215
64 0.5783568700 1092.074000 0.536000 215
65 0.5813279500 1092.074000 0.536000 215
66 0.5842990300 1092.074000 0.536000 215
67 0.5872701100 1092.074000 0.536000 215
68 0.5902411900 1092.074000 0.536000 215
69 0.5932122700 1092.074000 0.536000 215
70 0.5961833500 1092.074000 0.536000 215
71 0.5991544300 1092.074000 0.536000 215
72 0.6021255100 1092.074000 0.536000 215
73 0.6030770400 1092.074000 0.531000 213
74 0.6040010600 1092.074000 0.526000 211
75 0.6069171200 1092.074000 0.526000 211
76 0.6078136300 1092.074000 0.521000 209
77 0.6086826300 1092.074000 0.516000 207
78 0.6075045700 1092.074000 0.506000 203
79 0.6062714900 1092.074000 0.496000 199
80 0.6090224900 1092.074000 0.496000 199
81 0.6117734900 1092.074000 0.496000 199
82 0.6104853900 1092.074000 0.486000 195
83 0.6111618200 1092.074000 0.481000 193
84 0.6017481000 1092.074000 0.450000 180
85 0.6022044500 1092.074000 0.445000 178
86 0.5985941900 1092.074000 0.430000 172
87 0.6009600500 1092.074000 0.430000 172
88 0.6033259100 1092.074000 0.430000 172
89 0.6036722200 1092.074000 0.425000 170
90 0.5898541700 1092.074000 0.385000 154
91 0.5859688100 1092.074000 0.370000 148
92 0.5779618200 1092.074000 0.345000 138
93 0.5698447900 1092.074000 0.320000 128
94 0.5635547400 1092.074000 0.300000 120
95 0.5536382400 1092.074000 0.270000 108
96 0.5453011300 1092.074000 0.245000 98
97 0.5330624700 1092.074000 0.210000 84
98 0.5164821000 1092.074000 0.165000 66
99 0.5114413200 1092.074000 0.150000 60
100 0.5103571100 1092.074000 0.145000 58
