timeout energy time overhead #transitions
0 0.6965536500 1092.074000 0.090000 225
1 0.6996080400 1092.074000 0.090000 225
2 0.7026624300 1092.074000 0.090000 225
3 0.7056973900 1092.074200 0.089200 223
4 0.7086664600 1092.074800 0.086800 217
5 0.7116127300 1092.074800 0.086800 217
6 0.7145590000 1092.074800 0.086800 217
7 0.7175052700 1092.074800 0.086800 217
8 0.7204515400 1092.074800 0.086800 217
9 0.7233778100 1092.074000 0.086000 215
10 0.7262970500 1092.074000 0.086000 215
11 0.7292162900 1092.074000 0.086000 215
12 0.7321355300 1092.074000 0.086000 215
13 0.7350547700 1092.074000 0.086000 215
14 0.7379740100 1092.074000 0.086000 215
15 0.7408932500 1092.074000 0.086000 215
16 0.7438124900 1092.074000 0.086000 215
17 0.7467317300 1092.074000 0.086000 215
18 0.7496509700 1092.074000 0.086000 215
19 0.7525702100 1092.074000 0.086000 215
20 0.7554894500 1092.074000 0.086000 215
21 0.7584086900 1092.074000 0.086000 215
22 0.7613279300 1092.074000 0.086000 215
23 0.7642471700 1092.074000 0.086000 215
24 0.7671664100 1092.074000 0.086000 215
25 0.7700856500 1092.074000 0.086000 215
26 0.7730048900 1092.074000 0.086000 215
27 0.7759241300 1092.074000 0.086000 215
28 0.7788433700 1092.074000 0.086000 215
29 0.7817626100 1092.074000 0.086000 215
30 0.7846818500 1092.074000 0.086000 215
31 0.7876010900 1092.074000 0.086000 215
32 0.7905203300 1092.074000 0.086000 215
33 0.7934395700 1092.074000 0.086000 215
34 0.7963588100 1092.074000 0.086000 215
35 0.7992780500 1092.074000 0.086000 215
36 0.8021972900 1092.074000 0.086000 215
37 0.8051165300 1092.074000 0.086000 215
38 0.8080357700 1092.074000 0.086000 215
39 0.8109550100 1092.074000 0.086000 215
40 0.8138742500 1092.074000 0.086000 215
41 0.8167934900 1092.074000 0.086000 215
42 0.8197127300 1092.074000 0.086000 215
43 0.8226319700 1092.074000 0.086000 215
44 0.8255512100 1092.074000 0.086000 215
45 0.8284704500 1092.074000 0.086000 215
46 0.8313896900 1092.074000 0.086000 215
47 0.8343089300 1092.074000 0.086000 215
48 0.8372281700 1092.074000 0.086000 215
49 0.8401474100 1092.074000 0.086000 215
50 0.8430666500 1092.074000 0.086000 215
51 0.8459858900 1092.074000 0.086000 215
52 0.8489051300 1092.074000 0.086000 215
53 0.8518243700 1092.074000 0.086000 215
54 0.8547436100 1092.074000 0.086000 215
55 0.8576628500 1092.074000 0.086000 215
56 0.8605820900 1092.074000 0.086000 215
57 0.8635013300 1092.074000 0.086000 215
58 0.8664205700 1092.074000 0.086000 215
59 0.8693398100 1092.074000 0.086000 215
60 0.8722590500 1092.074000 0.086000 215
61 0.8751782900 1092.074000 0.086000 215
62 0.8780975300 1092.074000 0.086000 215
63 0.8810167700 1092.074000 0.086000 215
64 0.8839360100 1092.074000 0.086000 215
65 0.8868552500 1092.074000 0.086000 215
66 0.8897744900 1092.074000 0.086000 215
67 0.8926937300 1092.074000 0.086000 215
68 0.8956129700 1092.074000 0.086000 215
69 0.8985322100 1092.074000 0.086000 215
70 0.9014514500 1092.074000 0.086000 215
71 0.9043706900 1092.074000 0.086000 215
72 0.9072899300 1092.074000 0.086000 215
73 0.9102091700 1092.074000 0.086000 215
74 0.9131284100 1092.074000 0.086000 215
75 0.9160476500 1092.074000 0.086000 215
76 0.9189474600 1092.074200 0.085200 213
77 0.9218396700 1092.074200 0.085200 213
78 0.9247124500 1092.074400 0.084400 211
