timeout energy time overhead #transitions
0 0.6976604100 1082.580600 0.063600 159
1 0.6996766300 1082.580200 0.053200 133
2 0.7014051200 1082.580600 0.047600 119
3 0.7025847800 1082.580400 0.028400 71
4 0.7033101300 1082.580200 0.007200 18
5 0.7035534000 1082.580200 0.007200 18
6 0.7037966700 1082.580200 0.007200 18
7 0.7040399400 1082.580200 0.007200 18
8 0.7042832100 1082.580200 0.007200 18
9 0.7045264800 1082.580200 0.007200 18
10 0.7047697500 1082.580200 0.007200 18
11 0.7050130200 1082.580200 0.007200 18
12 0.7052562900 1082.580200 0.007200 18
13 0.7054995600 1082.580200 0.007200 18
14 0.7057428300 1082.580200 0.007200 18
15 0.7059861000 1082.580200 0.007200 18
16 0.7062293700 1082.580200 0.007200 18
17 0.7064726400 1082.580200 0.007200 18
18 0.7067159100 1082.580200 0.007200 18
19 0.7069591800 1082.580200 0.007200 18
20 0.7072024500 1082.580200 0.007200 18
21 0.7074457200 1082.580200 0.007200 18
22 0.7076889900 1082.580200 0.007200 18
23 0.7079322600 1082.580200 0.007200 18
24 0.7081755300 1082.580200 0.007200 18
25 0.7084188000 1082.580200 0.007200 18
26 0.7086620700 1082.580200 0.007200 18
27 0.7089053400 1082.580200 0.007200 18
28 0.7091486100 1082.580200 0.007200 18
29 0.7093918800 1082.580200 0.007200 18
30 0.7096351500 1082.580200 0.007200 18
31 0.7098784200 1082.580200 0.007200 18
32 0.7101216900 1082.580200 0.007200 18
33 0.7103649600 1082.580200 0.007200 18
34 0.7106082300 1082.580200 0.007200 18
35 0.7108515000 1082.580200 0.007200 18
36 0.7110947700 1082.580200 0.007200 18
37 0.7113380400 1082.580200 0.007200 18
38 0.7115813100 1082.580200 0.007200 18
39 0.7118245800 1082.580200 0.007200 18
40 0.7120678500 1082.580200 0.007200 18
41 0.7123111200 1082.580200 0.007200 18
42 0.7125543900 1082.580200 0.007200 18
43 0.7127976600 1082.580200 0.007200 18
44 0.7130409300 1082.580200 0.007200 18
45 0.7132842000 1082.580200 0.007200 18
46 0.7135274700 1082.580200 0.007200 18
47 0.7137707400 1082.580200 0.007200 18
48 0.7140140100 1082.580200 0.007200 18
49 0.7142572800 1082.580200 0.007200 18
50 0.7145005500 1082.580200 0.007200 18
51 0.7147438200 1082.580200 0.007200 18
52 0.7149870900 1082.580200 0.007200 18
53 0.7152303600 1082.580200 0.007200 18
